Season,Team,Mgr,Yrs,Prior Seasons Managed,From,To,W,L,W-L%,G>.500,G,Wpost,Lpost,W-L%post,BestFin,WrstFin,AvRk,Plyof App,Prior Playoff,Playoffs,WSwon,PennWon,ASG,playoff per season,career playoffs per season
2004,MIA,Jack McKeon,16,13,1973,2011,1051,990,0.515,61,2042,11,6,0.647,2,7,3.3,1,1,N,1,1,1,0.076923077,0.0625
2014,MIL,Ron Roenicke,4,3,2011,2014,335,313,0.517,22,648,5,6,0.455,1,4,2.8,1,1,N,0,0,0,0.333333333,0.25
2013,MIL,Ron Roenicke,4,2,2011,2014,335,313,0.517,22,648,5,6,0.455,1,4,2.8,1,1,N,0,0,0,0.5,0.25
2012,MIL,Ron Roenicke,4,1,2011,2014,335,313,0.517,22,648,5,6,0.455,1,4,2.8,1,1,N,0,0,0,1,0.25
2011,MIL,Ron Roenicke,4,0,2011,2014,335,313,0.517,22,648,5,6,0.455,1,4,2.8,1,0,Y,0,0,0,0,0.25
2010,MIL,Ken Macha,6,5,2003,2010,525,447,0.54,78,972,5,7,0.417,1,3,2,2,2,N,0,0,0,0.4,0.333333333
2009,MIL,Ken Macha,6,4,2003,2010,525,447,0.54,78,972,5,7,0.417,1,3,2,2,2,N,0,0,0,0.5,0.333333333
2008,MIL,Ned Yost,11,5,2003,2014,830,904,0.479,-74,1734,11,4,0.733,2,6,3.6,1,0,N,0,1,0,0,0.090909091
2007,MIL,Ned Yost,11,4,2003,2014,830,904,0.479,-74,1734,11,4,0.733,2,6,3.6,1,0,N,0,1,0,0,0.090909091
2006,MIL,Ned Yost,11,3,2003,2014,830,904,0.479,-74,1734,11,4,0.733,2,6,3.6,1,0,N,0,1,0,0,0.090909091
2005,MIL,Ned Yost,11,2,2003,2014,830,904,0.479,-74,1734,11,4,0.733,2,6,3.6,1,0,N,0,1,0,0,0.090909091
2004,MIL,Ned Yost,11,1,2003,2014,830,904,0.479,-74,1734,11,4,0.733,2,6,3.6,1,0,N,0,1,0,0,0.090909091
2014,MIN,Ron Gardenhire,13,12,2002,2014,1068,1039,0.507,29,2107,6,21,0.222,1,5,2.5,6,6,N,0,0,0,0.5,0.461538462
2013,MIN,Ron Gardenhire,13,11,2002,2014,1068,1039,0.507,29,2107,6,21,0.222,1,5,2.5,6,6,N,0,0,0,0.545454545,0.461538462
2012,MIN,Ron Gardenhire,13,10,2002,2014,1068,1039,0.507,29,2107,6,21,0.222,1,5,2.5,6,6,N,0,0,0,0.6,0.461538462
2011,MIN,Ron Gardenhire,13,9,2002,2014,1068,1039,0.507,29,2107,6,21,0.222,1,5,2.5,6,6,N,0,0,0,0.666666667,0.461538462
2010,MIN,Ron Gardenhire,13,8,2002,2014,1068,1039,0.507,29,2107,6,21,0.222,1,5,2.5,6,5,Y,0,0,0,0.625,0.461538462
2009,MIN,Ron Gardenhire,13,7,2002,2014,1068,1039,0.507,29,2107,6,21,0.222,1,5,2.5,6,4,Y,0,0,0,0.571428571,0.461538462
2008,MIN,Ron Gardenhire,13,6,2002,2014,1068,1039,0.507,29,2107,6,21,0.222,1,5,2.5,6,4,N,0,0,0,0.666666667,0.461538462
2007,MIN,Ron Gardenhire,13,5,2002,2014,1068,1039,0.507,29,2107,6,21,0.222,1,5,2.5,6,4,N,0,0,0,0.8,0.461538462
2006,MIN,Ron Gardenhire,13,4,2002,2014,1068,1039,0.507,29,2107,6,21,0.222,1,5,2.5,6,3,Y,0,0,0,0.75,0.461538462
2005,MIN,Ron Gardenhire,13,3,2002,2014,1068,1039,0.507,29,2107,6,21,0.222,1,5,2.5,6,3,N,0,0,0,1,0.461538462
2004,MIN,Ron Gardenhire,13,2,2002,2014,1068,1039,0.507,29,2107,6,21,0.222,1,5,2.5,6,2,Y,0,0,0,1,0.461538462
2014,NYM,Terry Collins,10,9,1994,2014,748,778,0.49,-30,1526,0,0,,2,4,2.7,0,0,N,0,0,0,0,0
2013,NYM,Terry Collins,10,8,1994,2014,748,778,0.49,-30,1526,0,0,,2,4,2.7,0,0,N,0,0,0,0,0
2012,NYM,Terry Collins,10,7,1994,2014,748,778,0.49,-30,1526,0,0,,2,4,2.7,0,0,N,0,0,0,0,0
2011,NYM,Terry Collins,10,6,1994,2014,748,778,0.49,-30,1526,0,0,,2,4,2.7,0,0,N,0,0,0,0,0
2010,NYM,Jerry Manuel,9,8,1998,2010,704,684,0.507,20,1390,0,3,0,1,4,2.5,1,1,N,0,0,0,0.125,0.111111111
2009,NYM,Jerry Manuel,9,7,1998,2010,704,684,0.507,20,1390,0,3,0,1,4,2.5,1,1,N,0,0,0,0.142857143,0.111111111
2008,NYM,Jerry Manuel,9,6,1998,2010,704,684,0.507,20,1390,0,3,0,1,4,2.5,1,1,N,0,0,0,0.166666667,0.111111111
2007,NYM,Willie Randolph,4,2,2005,2008,302,253,0.544,49,555,6,4,0.6,1,3,2.1,1,1,N,0,0,0,0.5,0.25
2006,NYM,Willie Randolph,4,1,2005,2008,302,253,0.544,49,555,6,4,0.6,1,3,2.1,1,0,Y,0,0,0,0,0.25
2005,NYM,Willie Randolph,4,0,2005,2008,302,253,0.544,49,555,6,4,0.6,1,3,2.1,1,0,N,0,0,0,0,0.25
2004,NYM,Art Howe,14,13,1989,2004,1129,1137,0.498,-8,2266,6,9,0.4,1,6,3.4,3,3,N,0,0,0,0.230769231,0.214285714
2014,NYY,Joe Girardi,8,7,2006,2014,726,570,0.56,156,1296,21,17,0.553,1,4,2.1,4,4,N,1,1,1,0.571428571,0.5
2013,NYY,Joe Girardi,8,6,2006,2014,726,570,0.56,156,1296,21,17,0.553,1,4,2.1,4,4,N,1,1,1,0.666666667,0.5
2012,NYY,Joe Girardi,8,5,2006,2014,726,570,0.56,156,1296,21,17,0.553,1,4,2.1,4,3,Y,1,1,1,0.6,0.5
2011,NYY,Joe Girardi,8,4,2006,2014,726,570,0.56,156,1296,21,17,0.553,1,4,2.1,4,2,Y,1,1,1,0.5,0.5
2010,NYY,Joe Girardi,8,3,2006,2014,726,570,0.56,156,1296,21,17,0.553,1,4,2.1,4,1,Y,1,1,1,0.333333333,0.5
2009,NYY,Joe Girardi,8,2,2006,2014,726,570,0.56,156,1296,21,17,0.553,1,4,2.1,4,0,Y,1,1,1,0,0.5
2008,NYY,Joe Girardi,8,1,2006,2014,726,570,0.56,156,1296,21,17,0.553,1,4,2.1,4,0,N,1,1,1,0,0.5
2007,NYY,Joe Torre HOF,29,25,1977,2010,2326,1997,0.538,329,4329,84,58,0.592,1,6,2.4,15,12,Y,4,6,6,0.48,0.517241379
2006,NYY,Joe Torre HOF,29,24,1977,2010,2326,1997,0.538,329,4329,84,58,0.592,1,6,2.4,15,11,Y,4,6,6,0.458333333,0.517241379
2005,NYY,Joe Torre HOF,29,23,1977,2010,2326,1997,0.538,329,4329,84,58,0.592,1,6,2.4,15,10,Y,4,6,6,0.434782609,0.517241379
2004,NYY,Joe Torre HOF,29,22,1977,2010,2326,1997,0.538,329,4329,84,58,0.592,1,6,2.4,15,9,Y,4,6,6,0.409090909,0.517241379
2014,OAK,Bob Melvin,11,10,2003,2014,818,768,0.516,50,1586,7,11,0.389,1,4,2.2,4,3,Y,0,0,0,0.3,0.363636364
2013,OAK,Bob Melvin,11,9,2003,2014,818,768,0.516,50,1586,7,11,0.389,1,4,2.2,4,2,Y,0,0,0,0.222222222,0.363636364
2012,OAK,Bob Melvin,11,8,2003,2014,818,768,0.516,50,1586,7,11,0.389,1,4,2.2,4,1,Y,0,0,0,0.125,0.363636364
2011,OAK,Bob Melvin,11,7,2003,2014,818,768,0.516,50,1586,7,11,0.389,1,4,2.2,4,1,N,0,0,0,0.142857143,0.363636364
2010,OAK,Bob Geren,5,3,2007,2011,334,376,0.47,-42,710,0,0,,2,4,3.1,0,0,N,0,0,0,0,0
2009,OAK,Bob Geren,5,2,2007,2011,334,376,0.47,-42,710,0,0,,2,4,3.1,0,0,N,0,0,0,0,0
2008,OAK,Bob Geren,5,1,2007,2011,334,376,0.47,-42,710,0,0,,2,4,3.1,0,0,N,0,0,0,0,0
2007,OAK,Bob Geren,5,0,2007,2011,334,376,0.47,-42,710,0,0,,2,4,3.1,0,0,N,0,0,0,0,0
2006,OAK,Ken Macha,6,3,2003,2010,525,447,0.54,78,972,5,7,0.417,1,3,2,2,1,Y,0,0,0,0.333333333,0.333333333
2005,OAK,Ken Macha,6,2,2003,2010,525,447,0.54,78,972,5,7,0.417,1,3,2,2,1,N,0,0,0,0.5,0.333333333
2004,OAK,Ken Macha,6,1,2003,2010,525,447,0.54,78,972,5,7,0.417,1,3,2,2,1,N,0,0,0,1,0.333333333
2014,PHI,Ryne Sandberg HOF,2,1,2013,2014,93,111,0.456,-18,204,0,0,,4,5,4.8,0,0,N,0,0,0,0,0
2013,PHI,Ryne Sandberg HOF,2,0,2013,2014,93,111,0.456,-18,204,0,0,,4,5,4.8,0,0,N,0,0,0,0,0
2012,PHI,Charlie Manuel,12,10,2000,2013,1000,826,0.548,174,1826,27,19,0.587,1,4,1.7,6,6,N,1,2,2,0.6,0.5
2011,PHI,Charlie Manuel,12,9,2000,2013,1000,826,0.548,174,1826,27,19,0.587,1,4,1.7,6,5,Y,1,2,2,0.555555556,0.5
2010,PHI,Charlie Manuel,12,8,2000,2013,1000,826,0.548,174,1826,27,19,0.587,1,4,1.7,6,4,Y,1,2,2,0.5,0.5
2009,PHI,Charlie Manuel,12,7,2000,2013,1000,826,0.548,174,1826,27,19,0.587,1,4,1.7,6,3,Y,1,2,2,0.428571429,0.5
2008,PHI,Charlie Manuel,12,6,2000,2013,1000,826,0.548,174,1826,27,19,0.587,1,4,1.7,6,2,Y,1,2,2,0.333333333,0.5
2007,PHI,Charlie Manuel,12,5,2000,2013,1000,826,0.548,174,1826,27,19,0.587,1,4,1.7,6,1,Y,1,2,2,0.2,0.5
2006,PHI,Charlie Manuel,12,4,2000,2013,1000,826,0.548,174,1826,27,19,0.587,1,4,1.7,6,1,N,1,2,2,0.25,0.5
2005,PHI,Charlie Manuel,12,3,2000,2013,1000,826,0.548,174,1826,27,19,0.587,1,4,1.7,6,1,N,1,2,2,0.333333333,0.5
2004,PHI,Larry Bowa,6,5,1987,2004,418,435,0.49,-17,853,0,0,,2,6,3.2,0,0,N,0,0,0,0,0
2014,PIT,Clint Hurdle,12,11,2002,2014,867,940,0.48,-73,1807,10,8,0.556,2,5,3.5,3,2,Y,0,1,1,0.181818182,0.25
2013,PIT,Clint Hurdle,12,10,2002,2014,867,940,0.48,-73,1807,10,8,0.556,2,5,3.5,3,1,Y,0,1,1,0.1,0.25
2012,PIT,Clint Hurdle,12,9,2002,2014,867,940,0.48,-73,1807,10,8,0.556,2,5,3.5,3,1,N,0,1,1,0.111111111,0.25
2011,PIT,Clint Hurdle,12,8,2002,2014,867,940,0.48,-73,1807,10,8,0.556,2,5,3.5,3,1,N,0,1,1,0.125,0.25
2010,PIT,John Russell,3,2,2008,2010,186,299,0.384,-113,485,0,0,,6,6,6,0,0,N,0,0,0,0,0
2009,PIT,John Russell,3,1,2008,2010,186,299,0.384,-113,485,0,0,,6,6,6,0,0,N,0,0,0,0,0
2008,PIT,John Russell,3,0,2008,2010,186,299,0.384,-113,485,0,0,,6,6,6,0,0,N,0,0,0,0,0
2007,PIT,Jim Tracy,11,6,2001,2012,856,880,0.493,-24,1736,2,6,0.25,1,6,3.5,2,1,N,0,0,0,0.166666667,0.181818182
2006,PIT,Jim Tracy,11,5,2001,2012,856,880,0.493,-24,1736,2,6,0.25,1,6,3.5,2,1,N,0,0,0,0.2,0.181818182
2005,PIT,Pete Mackanin,2,0,2005,2007,53,53,0.5,0,106,0,0,,5,6,5.2,0,0,N,0,0,0,0,0
2004,PIT,Lloyd McClendon,6,3,2001,2014,423,521,0.448,-98,944,0,0,,3,6,4.6,0,0,N,0,0,0,0,0
2014,SDP,Bud Black,8,7,2007,2014,617,680,0.476,-63,1297,0,0,,2,5,3.6,0,0,N,0,0,0,0,0
2013,SDP,Bud Black,8,6,2007,2014,617,680,0.476,-63,1297,0,0,,2,5,3.6,0,0,N,0,0,0,0,0
2012,SDP,Bud Black,8,5,2007,2014,617,680,0.476,-63,1297,0,0,,2,5,3.6,0,0,N,0,0,0,0,0
2011,SDP,Bud Black,8,4,2007,2014,617,680,0.476,-63,1297,0,0,,2,5,3.6,0,0,N,0,0,0,0,0
2010,SDP,Bud Black,8,3,2007,2014,617,680,0.476,-63,1297,0,0,,2,5,3.6,0,0,N,0,0,0,0,0
2009,SDP,Bud Black,8,2,2007,2014,617,680,0.476,-63,1297,0,0,,2,5,3.6,0,0,N,0,0,0,0,0
2008,SDP,Bud Black,8,1,2007,2014,617,680,0.476,-63,1297,0,0,,2,5,3.6,0,0,N,0,0,0,0,0
2007,SDP,Bud Black,8,0,2007,2014,617,680,0.476,-63,1297,0,0,,2,5,3.6,0,0,N,0,0,0,0,0
2006,SDP,Bruce Bochy,20,11,1995,2014,1618,1604,0.502,14,3222,42,30,0.583,1,5,2.9,7,3,Y,3,4,3,0.272727273,0.35
2005,SDP,Bruce Bochy,20,10,1995,2014,1618,1604,0.502,14,3222,42,30,0.583,1,5,2.9,7,2,Y,3,4,3,0.2,0.35
2004,SDP,Bruce Bochy,20,9,1995,2014,1618,1604,0.502,14,3222,42,30,0.583,1,5,2.9,7,2,N,3,4,3,0.222222222,0.35
2014,SEA,Lloyd McClendon,6,5,2001,2014,423,521,0.448,-98,944,0,0,,3,6,4.6,0,0,N,0,0,0,0,0
2013,SEA,Eric Wedge,10,9,2003,2013,774,846,0.478,-72,1620,6,5,0.545,1,4,3.3,1,1,N,0,0,0,0.111111111,0.1
2012,SEA,Eric Wedge,10,8,2003,2013,774,846,0.478,-72,1620,6,5,0.545,1,4,3.3,1,1,N,0,0,0,0.125,0.1
2011,SEA,Eric Wedge,10,7,2003,2013,774,846,0.478,-72,1620,6,5,0.545,1,4,3.3,1,1,N,0,0,0,0.142857143,0.1
2010,SEA,Daren Brown,1,0,2010,2010,19,31,0.38,-12,50,0,0,,4,4,4,0,0,N,0,0,0,0,0
2009,SEA,Don Wakamatsu,2,0,2009,2010,127,147,0.464,-20,274,0,0,,3,4,3.4,0,0,N,0,0,0,0,0
2008,SEA,Jim Riggleman,12,8,1992,2011,662,824,0.445,-162,1486,0,3,0,2,7,4.4,1,1,N,0,0,0,0.125,0.083333333
2007,SEA,John McLaren,3,0,2007,2011,70,89,0.44,-19,159,0,0,,2,4,2.9,0,0,N,0,0,0,0,0
2006,SEA,Mike Hargrove,16,14,1991,2007,1188,1173,0.503,15,2363,27,25,0.519,1,7,3.1,5,5,N,0,2,2,0.357142857,0.3125
2005,SEA,Mike Hargrove,16,13,1991,2007,1188,1173,0.503,15,2363,27,25,0.519,1,7,3.1,5,5,N,0,2,2,0.384615385,0.3125
2004,SEA,Bob Melvin,11,1,2003,2014,818,768,0.516,50,1586,7,11,0.389,1,4,2.2,4,0,N,0,0,0,0,0.363636364
2014,SFG,Bruce Bochy,20,19,1995,2014,1618,1604,0.502,14,3222,42,30,0.583,1,5,2.9,7,6,Y,3,4,3,0.315789474,0.35
2013,SFG,Bruce Bochy,20,18,1995,2014,1618,1604,0.502,14,3222,42,30,0.583,1,5,2.9,7,6,N,3,4,3,0.333333333,0.35
2012,SFG,Bruce Bochy,20,17,1995,2014,1618,1604,0.502,14,3222,42,30,0.583,1,5,2.9,7,5,Y,3,4,3,0.294117647,0.35
2011,SFG,Bruce Bochy,20,16,1995,2014,1618,1604,0.502,14,3222,42,30,0.583,1,5,2.9,7,5,N,3,4,3,0.3125,0.35
2010,SFG,Bruce Bochy,20,15,1995,2014,1618,1604,0.502,14,3222,42,30,0.583,1,5,2.9,7,4,Y,3,4,3,0.266666667,0.35
2009,SFG,Bruce Bochy,20,14,1995,2014,1618,1604,0.502,14,3222,42,30,0.583,1,5,2.9,7,4,N,3,4,3,0.285714286,0.35
2008,SFG,Bruce Bochy,20,13,1995,2014,1618,1604,0.502,14,3222,42,30,0.583,1,5,2.9,7,4,N,3,4,3,0.307692308,0.35
2007,SFG,Bruce Bochy,20,12,1995,2014,1618,1604,0.502,14,3222,42,30,0.583,1,5,2.9,7,4,N,3,4,3,0.333333333,0.35
2006,SFG,Felipe Alou,14,13,1992,2006,1033,1021,0.503,12,2055,1,3,0.25,1,5,2.9,1,1,N,0,0,1,0.076923077,0.071428571
2005,SFG,Felipe Alou,14,12,1992,2006,1033,1021,0.503,12,2055,1,3,0.25,1,5,2.9,1,1,N,0,0,1,0.083333333,0.071428571
2004,SFG,Felipe Alou,14,11,1992,2006,1033,1021,0.503,12,2055,1,3,0.25,1,5,2.9,1,1,N,0,0,1,0.090909091,0.071428571
2014,STL,Mike Matheny,3,2,2012,2014,275,211,0.566,64,486,20,19,0.513,1,2,1.3,3,2,Y,0,1,0,1,1
2013,STL,Mike Matheny,3,1,2012,2014,275,211,0.566,64,486,20,19,0.513,1,2,1.3,3,1,Y,0,1,0,1,1
2012,STL,Mike Matheny,3,0,2012,2014,275,211,0.566,64,486,20,19,0.513,1,2,1.3,3,0,Y,0,1,0,0,1
2011,STL,Tony La Russa HOF,33,32,1979,2011,2728,2365,0.536,363,5097,70,58,0.547,1,7,2.6,14,13,Y,3,6,6,0.40625,0.424242424
2010,STL,Tony La Russa HOF,33,31,1979,2011,2728,2365,0.536,363,5097,70,58,0.547,1,7,2.6,14,13,N,3,6,6,0.419354839,0.424242424
2009,STL,Tony La Russa HOF,33,30,1979,2011,2728,2365,0.536,363,5097,70,58,0.547,1,7,2.6,14,12,Y,3,6,6,0.4,0.424242424
2008,STL,Tony La Russa HOF,33,29,1979,2011,2728,2365,0.536,363,5097,70,58,0.547,1,7,2.6,14,12,N,3,6,6,0.413793103,0.424242424
2007,STL,Tony La Russa HOF,33,28,1979,2011,2728,2365,0.536,363,5097,70,58,0.547,1,7,2.6,14,12,N,3,6,6,0.428571429,0.424242424
2006,STL,Tony La Russa HOF,33,27,1979,2011,2728,2365,0.536,363,5097,70,58,0.547,1,7,2.6,14,11,Y,3,6,6,0.407407407,0.424242424
2005,STL,Tony La Russa HOF,33,26,1979,2011,2728,2365,0.536,363,5097,70,58,0.547,1,7,2.6,14,10,Y,3,6,6,0.384615385,0.424242424
2004,STL,Tony La Russa HOF,33,25,1979,2011,2728,2365,0.536,363,5097,70,58,0.547,1,7,2.6,14,9,Y,3,6,6,0.36,0.424242424
2014,TBR,Joe Maddon,11,10,1996,2014,781,729,0.517,52,1510,13,17,0.433,1,5,2.9,4,4,N,0,1,1,0.4,0.363636364
2013,TBR,Joe Maddon,11,9,1996,2014,781,729,0.517,52,1510,13,17,0.433,1,5,2.9,4,3,Y,0,1,1,0.333333333,0.363636364
2012,TBR,Joe Maddon,11,8,1996,2014,781,729,0.517,52,1510,13,17,0.433,1,5,2.9,4,3,N,0,1,1,0.375,0.363636364
2011,TBR,Joe Maddon,11,7,1996,2014,781,729,0.517,52,1510,13,17,0.433,1,5,2.9,4,2,Y,0,1,1,0.285714286,0.363636364
2010,TBR,Joe Maddon,11,6,1996,2014,781,729,0.517,52,1510,13,17,0.433,1,5,2.9,4,1,Y,0,1,1,0.166666667,0.363636364
2009,TBR,Joe Maddon,11,5,1996,2014,781,729,0.517,52,1510,13,17,0.433,1,5,2.9,4,1,N,0,1,1,0.2,0.363636364
2008,TBR,Joe Maddon,11,4,1996,2014,781,729,0.517,52,1510,13,17,0.433,1,5,2.9,4,0,Y,0,1,1,0,0.363636364
2007,TBR,Joe Maddon,11,3,1996,2014,781,729,0.517,52,1510,13,17,0.433,1,5,2.9,4,0,N,0,1,1,0,0.363636364
2006,TBR,Joe Maddon,11,2,1996,2014,781,729,0.517,52,1510,13,17,0.433,1,5,2.9,4,0,N,0,1,1,0,0.363636364
2005,TBR,Lou Piniella,23,18,1986,2010,1835,1713,0.517,122,3548,23,27,0.46,1,5,2.8,7,5,N,1,1,1,0.277777778,0.304347826
2004,TBR,Lou Piniella,23,17,1986,2010,1835,1713,0.517,122,3548,23,27,0.46,1,5,2.8,7,5,N,1,1,1,0.294117647,0.304347826
2014,TEX,Tim Bogar,1,0,2014,2014,14,8,0.636,6,22,0,0,,5,5,5,0,0,N,0,0,0,0,0
2013,TEX,Ron Washington,8,6,2007,2014,664,611,0.521,53,1275,18,16,0.529,1,5,2.3,3,3,N,0,2,2,0.5,0.375
2012,TEX,Ron Washington,8,5,2007,2014,664,611,0.521,53,1275,18,16,0.529,1,5,2.3,3,2,Y,0,2,2,0.4,0.375
2011,TEX,Ron Washington,8,4,2007,2014,664,611,0.521,53,1275,18,16,0.529,1,5,2.3,3,1,Y,0,2,2,0.25,0.375
2010,TEX,Ron Washington,8,3,2007,2014,664,611,0.521,53,1275,18,16,0.529,1,5,2.3,3,0,Y,0,2,2,0,0.375
2009,TEX,Ron Washington,8,2,2007,2014,664,611,0.521,53,1275,18,16,0.529,1,5,2.3,3,0,N,0,2,2,0,0.375
2008,TEX,Ron Washington,8,1,2007,2014,664,611,0.521,53,1275,18,16,0.529,1,5,2.3,3,0,N,0,2,2,0,0.375
2007,TEX,Ron Washington,8,0,2007,2014,664,611,0.521,53,1275,18,16,0.529,1,5,2.3,3,0,N,0,2,2,0,0.375
2006,TEX,Buck Showalter,16,10,1992,2014,1259,1161,0.52,98,2421,9,13,0.409,1,5,2.9,4,2,N,0,0,1,0.2,0.25
2005,TEX,Buck Showalter,16,9,1992,2014,1259,1161,0.52,98,2421,9,13,0.409,1,5,2.9,4,2,N,0,0,1,0.222222222,0.25
2004,TEX,Buck Showalter,16,8,1992,2014,1259,1161,0.52,98,2421,9,13,0.409,1,5,2.9,4,2,N,0,0,1,0.25,0.25
2014,TOR,John Gibbons,7,6,2004,2014,462,472,0.495,-10,934,0,0,,2,5,3.4,0,0,N,0,0,0,0,0
2013,TOR,John Gibbons,7,5,2004,2014,462,472,0.495,-10,934,0,0,,2,5,3.4,0,0,N,0,0,0,0,0
2012,TOR,John Farrell,4,1,2011,2014,322,326,0.497,-4,648,11,5,0.688,1,5,3.5,1,0,N,1,1,0,0,0.25
2011,TOR,John Farrell,4,0,2011,2014,322,326,0.497,-4,648,11,5,0.688,1,5,3.5,1,0,N,1,1,0,0,0.25
2010,TOR,Cito Gaston,12,11,1989,2010,894,837,0.516,57,1731,18,16,0.529,1,5,2.9,4,4,N,2,2,2,0.363636364,0.333333333
2009,TOR,Cito Gaston,12,10,1989,2010,894,837,0.516,57,1731,18,16,0.529,1,5,2.9,4,4,N,2,2,2,0.4,0.333333333
2008,TOR,Cito Gaston,12,9,1989,2010,894,837,0.516,57,1731,18,16,0.529,1,5,2.9,4,4,N,2,2,2,0.444444444,0.333333333
2007,TOR,John Gibbons,7,3,2004,2014,462,472,0.495,-10,934,0,0,,2,5,3.4,0,0,N,0,0,0,0,0
2006,TOR,John Gibbons,7,2,2004,2014,462,472,0.495,-10,934,0,0,,2,5,3.4,0,0,N,0,0,0,0,0
2005,TOR,John Gibbons,7,1,2004,2014,462,472,0.495,-10,934,0,0,,2,5,3.4,0,0,N,0,0,0,0,0
2004,TOR,John Gibbons,7,0,2004,2014,462,472,0.495,-10,934,0,0,,2,5,3.4,0,0,N,0,0,0,0,0
2014,WSN,Matt Williams,1,0,2014,2014,96,66,0.593,30,162,1,3,0.25,1,1,1,1,0,Y,0,0,0,0,1
2013,WSN,Davey Johnson,17,16,1984,2013,1372,1071,0.562,301,2445,25,26,0.49,1,5,1.9,6,6,N,1,1,1,0.375,0.352941176
2012,WSN,Davey Johnson,17,15,1984,2013,1372,1071,0.562,301,2445,25,26,0.49,1,5,1.9,6,5,Y,1,1,1,0.333333333,0.352941176
2011,WSN,Davey Johnson,17,14,1984,2013,1372,1071,0.562,301,2445,25,26,0.49,1,5,1.9,6,5,N,1,1,1,0.357142857,0.352941176
2010,WSN,Jim Riggleman,12,10,1992,2011,662,824,0.445,-162,1486,0,3,0,2,7,4.4,1,1,N,0,0,0,0.1,0.083333333
2009,WSN,Jim Riggleman,12,9,1992,2011,662,824,0.445,-162,1486,0,3,0,2,7,4.4,1,1,N,0,0,0,0.111111111,0.083333333
2008,CLE,Manny Acta,6,1,2007,2012,372,518,0.418,-146,890,0,0,,2,5,4.1,0,0,N,0,0,0,0,0
2007,CLE,Manny Acta,6,0,2007,2012,372,518,0.418,-146,890,0,0,,2,5,4.1,0,0,N,0,0,0,0,0
2006,WSN,Frank Robinson HOF,16,15,1975,2006,1065,1176,0.475,-111,2241,0,0,,2,7,4.4,0,0,N,0,0,0,0,0
2005,WSN,Frank Robinson HOF,16,14,1975,2006,1065,1176,0.475,-111,2241,0,0,,2,7,4.4,0,0,N,0,0,0,0,0
2004,WSN,Frank Robinson HOF,16,13,1975,2006,1065,1176,0.475,-111,2241,0,0,,2,7,4.4,0,0,N,0,0,0,0,0
